Site_ID,year
37-057-0002,2008
37-067-0022,2002
37-067-0022,2003
37-067-0022,2004
37-067-0022,2005
37-067-0022,2006
37-067-0022,2007
37-087-0035,2000
37-087-0035,2001
37-087-0035,2002
37-087-0035,2003
37-087-0035,2004
37-087-0035,2005
37-087-0035,2006
37-087-0035,2007
37-087-0035,2008
37-095-9000,2001
37-095-9000,2002
37-095-9000,2003
37-095-9000,2006
37-095-9000,2007
37-095-9000,2008
37-107-0004,2002
37-107-0004,2003
37-107-0004,2004
37-107-0004,2005
37-107-0004,2006
37-107-0004,2007
37-107-0004,2008
37-119-0041,2001
37-119-0041,2002
37-119-0041,2003
37-119-0041,2004
37-119-0041,2005
37-119-0041,2006
37-119-0041,2007
37-119-0041,2008
37-159-0021,2006
37-159-0021,2007
37-159-0021,2008
